south    n.南，南方 a.南方的
southern     adj.南方的，南部的
southward    n.南方
southwest    n.西南 a.西南的
southeast    n.东南 a.位于东南的
southeastern     a.东南方的
southwestern     adj.(在)西南的
southerly    a.向南的,来自南方的
youth    n.青年
youthful     a.年轻的，青年的
trout    n.鲑鱼
stout    a.矮胖的;坚固的
scout    vt.搜索，侦察，跟踪
devout   a.虔诚的,虔敬的,衷心的
uncouth  adj.笨拙的，无教养的
bout     n.一回合，一阵
gout     n.味,趣味,嗜好,一团,一滴
clout    n.破布，碎片布
flout    v.蔑视，违抗
gouty    a.痛风的,患了痛风的,易患痛风的
accoutre     vt.供以服装,供以军用品,装备
accouter     vt.供以服装,供以军用品,装备
lout     n.粗人
stoutness    n.坚固,刚毅
caoutchouc   n.弹性橡皮
a    art.一(个，件，..)
able     adj.有能力的;能干的
above    prep.在⋯上面;高于
account  n.记述;解释;帐目
acros    prep.横过，穿过
act  vi.行动;做，做事
add  vt.加，增加
afraid   adj.(表语)怕，害怕
after    prep.在⋯以后;次于
afternoon    n.下午，午后
again    ad.又一次;而且
against  prep.反对;对着
age  n.年龄;时代 vt.变老
ago  ad.以前
air  n.空气;空中;外观
all  adv.都
allow    vt.允许，准许;任
almost   ad.几乎，差不多
alone    a.单独的 ad.单独地
along    prep.沿着 ad.向前
already  ad.早已，已经
also     ad.亦，也;而且，还
although     conj.虽然
always   adv.总是，一直
American     a.美洲的 n.美国人
among    prep.在⋯之中
amount   n.总数;数量;和
and  conj.和;又
animal   n.动物，兽 a.动物的
answer   vt.回答;响应;适应
any  adj.什么,一些,任何的
anything     pron.任何事(物)
appear   vi.出现;显得;好象
apple    n.苹果
arm  n.手臂，胳膊
army     n.军队
around   prep.在...周围
arrive   vi.到达;来临;达到
art  n.艺术;美术
article  n.文章，论文;冠词
as   conj.因为，由于
ask  v.问
at   prep.在
attend   vt.出席;照顾，护理
away     ad.离开，远离;⋯去
baby     n.一家中年龄最小的人
back     adv.回(原处);向后
bad  a.坏的，恶的;严重的
bag  n.提包，口袋，书包
ball     n.球
basket   n.篮，篓，筐
basketbal    n.篮球;篮球运动
battle   vi.战斗 vt.与⋯作战
bay  n.海湾
be   aux.v.&vi.是，在，做
bear     n.熊;粗鲁的人
beast    n.兽，野兽;牲畜
beat     vt.&vi.打，敲;打败
beautiful    a.美的，美丽的
beauty   n.美;美人
because  conj.因为
become   vi.变成;成为，变得
bed  n.床
bee  n.蜜蜂
before   prep.在⋯以前;向⋯
begin    vi.开始 vt.开始
behind   prep.在⋯后面
being    n.存在;生物;生命
believe  vt.相信;认为
bell     n.铃，钟
belong   vi.属于，附属
beside   prep.在⋯旁边
betwen   prep.在⋯中间
big  adj.大的
bill     n.账单;招贴;票据
bird     n.鸟，禽
bit  n.一点，一些
black    adj.黑色的
bless    vt.保佑;降福
blind    n.百叶窗;窗帘;遮帘
blood    n.血
blow     vt.&vi.吹
board    n.木板;板
boat     n.小船，艇;渔船
body     n.身体;主体;尸体
bone     n.骨，骨骼
book     n.书，书籍 vt.预定
born     a.天生的;出生的
both     pron.两者(都)
bottom   n.底，底部，根基
bow  n.弓;蝴蝶结;鞠躬
box  n.盒子
boy  n.男孩，少年;家伙
branch   n.枝条;支流;部门
brave    a.勇敢的，华丽的
break    n.(课间)休息时间
breakfast    n.早饭，早餐
bright   a.明亮的;聪明的
bring    vt.带来;引出;促使
broken   a.被打碎的，骨折的
brook    n.小河，溪流
brother  n.兄，弟
build    vt.建筑;建立;创立
building     n.建筑物，大楼;建筑
business     n.商业，生意;事务
busy     adj.忙的;繁忙的
but  conj.但是，可是
buy  vt.买
by   prep.被，由
cake     n.蛋糕，饼，糕
call     vt.把⋯叫做;叫，喊
can  n.罐头，听头
cap  n.帽子
captain  n.陆军上尉;队长
care     n.照料;保护;小心
careful  a.仔细的;细致的
case     n.情况;事实;病例
catch    vi.钩住;挂住;绊住
cause    n.原因，理由;事业
cent     n.分
center   n.中心,中心点,中锋
certain  a.确实的;肯定的
chain    n.链，链条，项圈
chance   n.机会
change   n.零钱;找头 vt.兑换
chief    n.首长，头子
child    n.小孩
choose   vt.&vi.选择
Christmas    n.圣诞节
church   n.教堂
circle   vt.环绕，盘旋 n.圆
city     n.城市，都市
clean    a.清洁的;纯洁的
clock    n.钟，仪表
close    v.关
cloth    n.布;布料
clothe   vt.给⋯穿衣服
clothes  n.衣服，服装;被褥
cloud    n.云
coal     n.煤，煤块
coast    n.海岸，海滨(地区)
coat     n.外套，上衣;表皮
cold     a.冷的;冷淡的 n.冷
color    n.颜色，彩色;颜料
colour   n.颜色
come     vi.来，来到;出现
command  vt.命令，指挥;控制
common   adj.普通的，一般地
company  n.公司
complete     adj.完全的，彻底的
condition    n.条件;状况
contain  vt.包含，容纳;等于
continue     vt.继续，连续;延伸
cook     vi.烹调，煮 n.厨师
cool     vi.&vt.(使)凉快,冷却
corner   n.角;(街道)拐角
cost     vi.值(多少钱)n.成本
could    aux.v.(can的过去式)
count    vt.数;计数
country  n.国家，国土;农村
course   n.课程;过程;一道菜
court    n.法院，法庭;庭院
cover    vt.盖，包括 n.盖子
cross    n.十字架 vt.&vi.穿过
crowd    n.群;大众;一伙人
crown    n.王冠，冕;花冠
cry  vi.哭;叫喊
cup  vt.使成杯形
cut  vt.切;割;砍
dance    vi.跳舞;摇晃 n.舞
dare     v.aux.敢;敢于
dark     adj.黑暗的
date     n.日期
daughter     n.女儿
day  n.(一)天，白昼，白天
dead     adj.死的
deal     vi.做买卖;对付
dear     adj.昂贵的，高价的
death    n.死，死亡;灭亡
decide   vi.&vt.下决心;决定
deep     adj.深的
desire   vt.相望;要求 n.愿望
destroy  vt.破坏;消灭;打破
die  vi.死
difference   n.差别;差;分歧
different    adj.不同的
dinner   n.正餐(午饭或晚饭)
direct   vt.指导
